1619846831078|118|statement|connection 3|url jdbc:mysql://8.140.152.182:3306/springdemo?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|/* ping */ SELECT 1|/* ping */ SELECT 1
1619846966927|81|statement|connection 4|url jdbc:mysql://8.140.152.182:3306/springdemo?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select            id, name, age, date, sex, flag         from employee     where id = ?|select            id, name, age, date, sex, flag         from employee     where id = 1001
1619847034608|72|statement|connection 5|url jdbc:mysql://8.140.152.182:3306/log?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select            id, logContent, createts         from t_test_log     where id = ?|select            id, logContent, createts         from t_test_log     where id = NULL
1619847046394|74|statement|connection 6|url jdbc:mysql://8.140.152.182:3306/log?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select            id, logContent, createts         from t_test_log     where id = ?|select            id, logContent, createts         from t_test_log     where id = 28
1623071095734|105|statement|connection 3|url jdbc:mysql://8.140.152.182:3306/springdemo?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|/* ping */ SELECT 1|/* ping */ SELECT 1
1627048742023|100|statement|connection 3|url jdbc:mysql://8.140.152.182:3306/springdemo?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|/* ping */ SELECT 1|/* ping */ SELECT 1
1627048777370|51|statement|connection 3|url jdbc:mysql://8.140.152.182:3306/springdemo?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select job_id          jobId,                bean_name       beanName,                method_name     methodName,                params,                cron_expression cronExpression,                status,                remark,                create_time     createTime         from t_job         order by job_id|select job_id          jobId,                bean_name       beanName,                method_name     methodName,                params,                cron_expression cronExpression,                status,                remark,                create_time     createTime         from t_job         order by job_id
1627048777448|48|statement|connection 4|url jdbc:mysql://8.140.152.182:3306/febs_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = 'TASK_1' AND TRIGGER_GROUP = 'DEFAULT'
1627048777506|43|statement|connection 4|url jdbc:mysql://8.140.152.182:3306/febs_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = 'TASK_1' AND TRIGGER_GROUP = 'DEFAULT'
1627048777548|43|statement|connection 5|url jdbc:mysql://8.140.152.182:3306/febs_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = 'TASK_1' AND TRIGGER_GROUP = 'DEFAULT'
1627048777596|45|statement|connection 5|url jdbc:mysql://8.140.152.182:3306/febs_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'FEBS_Cloud_Scheduler_Task' AND TRIGGER_NAME = 'TASK_1' AND TRIGGER_GROUP = 'DEFAULT'
